id,question,question_concept,answerKey,Option_A,Option_B,Option_C,Option_D,Option_E
20a3bb788cf408d9a3e25e610fe60905,In what kind of environment does an anemone live?,anemone,D,nursery,south pacific,desert,sea water,atlantic ocean
9b4bbf3c4d24ecdb4b27320afb706808,Where would you find people standing in a line outside?,people,A,bus depot,end of line,opera,neighbor's house,meeting
e89a2762d578cb7bc2cc0a5b2a16d933,What kind of feelings does buying presents for others create?,buy presents for others,E,tears,please,like,thank,make happy
6195ed74cf445cb5d991e1076a080dde,There was many a bottle to choose from behind the cashier where?,bottle,D,grocery store,diaper bag,gas station,liquor store,medicine cabinet
f18833ace65a54709377134168b457a9,Where might the stapler be if I cannot find it?,stapler,C,office building,office supply store,desk drawer,with dwight,desktop
8becd2ee4e86258566a9c2b0e6d9544e,If you're going to a party in a new town what are you hoping to make?,going to party,B,getting drunk,making new friends,new contacts,doing drugs,set home
43cec0fff43a976fade9112d02b66021,What green area is a marmot likely to be found in?,marmot,A,countryside,great plains,encyclopedia,jungle,north america
489a082aab43dd1a53f3f1f89c2365ed,Children's behavior is a direct reflection of their what?,children,A,parents,old people,play ball,many adults,grown ups
fee5f4e9d8e37f0183e36eb9b8dbcbb9,"Joan wants to cook a potato, where should she place it?",potato,A,boiling water,paper bag,restaurants,underground,cupboard
bbe0a1ad733e5699f991ff91b3712a6f,Why would you take a bus to work?,take bus,A,commute,flying,get somewhere,travel,go home
1342c6aec9f5179d6ea6fa5fefbe5188,One of the potential hazards of attending school is what?,attending school,D,cooties,get smart,boredom,colds and flu,taking tests
3b4dcfcab4726496bdbe9535cc669082,"He has lactose intolerant, but was eating dinner made of cheese, what followed for him?",eating dinner,D,digestive,feel better,sleepiness,indigestion,illness
8b25332de2894ab38784235838d38cec,"If the president wanted to ban snakes, where would he issue such a decree?",snake,E,street,tropical forest,garden of eden,new mexico,white house
335b51bd3a8ada014bbe6754dcbd425f,Where are there likely to be a variety of flats to choose from?,flat,C,london,apartment building,city,falling down,town
38e61d4be0da46b3cbbd76dc20bce677,Mandy lived in a train station.  She longed to see distant places. Where might she imagine going?,train station,D,downtown area,centre of town,bedroom,europe,big city
5393ba1ce298bd1ac4744c07d7373a9c,"When you get an F, you fail. If you get A's you are?",fail,D,passed,completing,passed,passing,succeeding
061f326d2a87a10da6316b55bd5522bd,John bought a new water hose.  But he found his old one near his car.  Where did he find the old one?,hose,D,garden shed,hardware store,greenhouse,garage,in a van
0c1efb38e023ee9725486fbec4f2d797,"He looked at the field of pumps, all slowing churning oil out of the what?",oil,D,manual,street,restaurant,ground,service station
c036ce033bc429ac1aba0a6ac8d057e1,"Something had the nerve to break into the garbage last night, what did it?",nerve,B,eyes,animal,fingertips,brainstem,human body
3a6140e475cbbd3ee1da5ba9a6953597_1,Where would you expect to find a dictionary along side other writings you can borrow?,dictionary,E,classroom,shelf,explain meaning of words,table,library
c5ad166ab5c5f5f067aa02b20f482523,"Of all the sports, Billy enjoys football, but what does his concerned mother think of the sport?",sports,E,very entertaining,fun,slow,competitive,violent
9d97e2bb458d93a8bafe4380b08727e3,Where is there a telephone book in almost every room?,telephone book,A,at hotel,house,library,bedsit,closet
7b7941b883328ad39048d4dfb1eb5623,Sally thought that competing wasn't worth the risk. If she pushed more what might happen?,competing,E,pressure,trying harder,put harder,enemies,death
dbcedaa6a6f1f68bc8f2bf7aef23294e,What do people feel after having sex that requires them to shower?,sex,E,bedroom,pleasant,obesity,painful,dirty
fb54a118d46b2776e435d411ae3dd9c8,What happens when you go somewhere and forget something at home?,go somewhere,D,arriving,arrive there,turn around,go back,fart
cce13a32fedb997c017d3fac87c34912,How might releasing energy that has built up feel?,releasing energy,B,damage,wonderful,exhaustion,orgasm,lazy
113aaea2b1a27a976547f54e531d99bb,Where is a doormat likely to be in front of?,doormat,B,facade,front door,doorway,entrance porch,hallway
bdcfbe2132295d437e4c5701085f19c0,If you are prone to postpone work what will you have to do in order to finish on time?,postpone,B,eat,hasten,antedate,bring forward,advance
ea6d1a739ea841be282e13789270651e,What makes someone a nomad?,person,C,unpleasant things,hangnail,have no home,have no car,schizophrenia
79c3378b7660d328902d7c0ad442a37f,What did the policemen do when they heard a cry from a distance?,policemen,E,run away,hurry along,fine motorists,direct traffic,help
6bd176cc91a2a2088807ec446c008856,where is a good place to obtain new soap?,soap,A,supermarket,washing,cabinet,own home,sink
e68fb2448fd74e402aae9982aa76e527,Where are  you likely to find a hamburger?,hamburger,A,fast food restaurant,pizza,ground up dead cows,mouth,cow carcus
4779be55f47a301debfc472e4fc2c7b6,What are you using if there are speakers strapped on your ears?,speakers,B,take it all in,headphones,desktop,conference,concert
420641003ba20b966887dfac684efb17,"If you spend a long time shopping in uncomfortable shoes, you might develop what?",shopping,B,tiredness,calluses,bankruptcy,standing in line,sleepyness
bd47827418d5b8d7fb3502a398644435,"The hostess greeted the employees to the program, she then led them to their what?",hostess,D,group people,welcome guests,occupations,work room,seat customer
bbcef409e0acb71b515acc144d5b402c_1,Where would you get jeans and other wearable items to take home with you?,jeans,D,shopping mall,museum,laundromat,clothing store,bedroom
78276a4eab6e8d6b9ae3749211816977,"Sean was a wreck.  He  loved to build houses, but in his current state, he couldn't do what?",wreck,C,stand up,produce,construct,make,build
d6c002d46d9bfa466637cec4a134f332,How many hours are in a day?,day,D,week,bright,night,twenty four,year
2c9f4a98ce774cd734b6e384d95051a7,"They children loved having a back yard, and the parents loved that it was a safe what?",back yard,B,suburb,neighborhood,back of house,roundabout,property
3d9c3253e24fb108cea9083e8a853cf2,"Bill wanted to pick up a stranger, preferably a responsible one with kids.  Where might he look for one?",stranger,D,bus station,paradise,train station,park,sea
52ab95f9216f1994e37cc08f7f258f13,What happens when driving?,driving,C,lack of fuel,paint scratching,wheels turning,tire wear,traffic accident
b9b82aa4c236cd342ff95455b8516a42,Sitting down quickly after eating beans could lead to what?,sitting down,A,flatulence,happiness,laziness,fall asleep,comfort
a4892551cb4beb279653ae52d0de4c89,What island country is ferret popular?,ferret,C,own home,north carolina,great britain,hutch,outdoors
e1f90cd664a6b150291e6d8444d85c54,I did not need a servant.  I was not a what?,servant,B,freedom,rich person,hired help,in charge,busy
15b090801256085ad465e74af47cbee9,Why are dogs often known as man's best friend?,dogs,C,aggressive,friendly,very loyal,found outside,very smart
28357ebf85f8bb82b6a3210c4397e0aa,Where would you put a plate immediately after eating from it?,plate,D,kitchen cupboard,floor,table,dishwasher,flea market
e18dd9ffc7b7934c39f2b5e9dee5a8c2,"The person wasn't bothered by the weather, she had remembered to bring her what?",person,E,read book,own house,apartment,more rice,warm coat
27c523eb9099d2eec66296558eb4448e,"The child didn't know the problems his mother was going through, all he had was what for her?",child,C,care,balloon,loved,become adult,learn
83c25b9a5db5f9b3fd1ff6c7453d23d0,What does a gambler do that causes him or her to be unhappy?,gambler,C,play cards,double winnings,lose money,play poker,to win the prize
2ec7f8fe7948f9997e73f9bff7ba6e05,What do most companies not want to have relative to demand?,want,A,oversupply,plentitude,stockpile,superabundance,busy
b9e04a53c0ee7325b901de4d12d56884,Where do you keep musical instrument so it doesn't get scratched?,musical instrument,C,bank,orchestra,case,music room,movie
761b0f6c68b1540949b70f76a9e67c78,If someone rules the universe of what are they in charge?,rule,C,classroom,football game,everything,text book,lawbook
e1d354cbfcd620e5dacf83c17746c4b3,Joe found spiders while checking something outside.  What might that be?,spiders,D,cupboard,closet,storage bag,mail box,garage
cc46d936bf69d69a3863b0cb85d75c17,He was beginning to regret taking the fight when he saw how what his opponent was?,regret,D,fun,joy,satisfaction,confident,pride
46bc1a50eeead10509a43a048e01194e,Where would you find a single shower curtain being used?,shower curtain,A,bathtub,washing area,hotel,shower stall,department store
d807e7ae60976324920c8d29eb42dad6,Where does a heifer's master live?,heifer,A,farm house,barnyard,stockyard,slaughter house,eat cake
a7e3de0719fe30e7048f67426e29fdd1,James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?,channel,D,river,television,india,england,europe
4858669d0193e5d9384dc37d4bb5c00c,Where do play a game for money?,game,A,casino,football ground,ballpark,family room,toy store
4423c006f2a43f222d4c4e97360c25d3,"The fresh herbs, flowers, and vegetables will shrivel up if people don't do this?",people,A,water plants,believe in god,drive to the nearest pool,speaking english,raise children
b9bed83138901f4a45041b02c5b242c1,"The business man was promoted recently, to celebrate he went where to buy an expensive wristwatch?",wristwatch,B,case,jewelry store,shopping,jewelery box,hock
c1aebf059c5102f4e773f7fe4afe13f0,When someone has little knowledge and is judging someone they are considered what?,judging,D,objectivity,knowing yourself,experience,ignorance,introduction
22fc45d9e6d0baea4a5b0526504225b8,What might a person be watching if they see a man with a suitcase full of money?,suitcase,B,baggage compartment,movie,subway,airplane,cargo hold
d0c67c7ae6f2361fe237110455127866,What region of a west coast U.S. city would you find a Japanese restaurant?,japanese restaurant,C,california,tokio,downtown,narnia,large town
84ea43b967259814d939c62131f74df0,"Seeing idea become reality was a dream of hers for a long time, but as the time came to get on stage she had more what?",seeing idea become reality,B,build,anxiety,celebrate,very nice,ocean
dd4a811d18549f1ae1954cf938b28536,"They were searching for rocks, so they missed the birds overhead as they stared at the what?",rocks,A,ground,drawer,surface of earth,pizza,waterfall
edbb57ac2f476679ae547f75ec2bef3e,John saw a fox running along the beach and was glad to be on the east coast.  Where might he have been?,fox,B,tennessee,south carolina,louisiana,oklahoma,mountains
611a4cc0e288b8a11afa923f48cb2ab4,When did mammoth's live?,mammoth,E,boscage,forest,prehistory,prehistoric times,ancient times
55478486079423907508a06be13ca536,Where outside of a city would a squirrel live?,squirrel,C,roof,inside home,forest,yard,park
b62d7d1b5eec31be0b65146a9fc069e0,What will god never do according to religion?,god,B,anything,judge people,work miracles,judge men,everywhere
6915dfdefe3b1cd5fd8886c8bb84929a,"Sally was standing in queue.  The line was very, very slow.  What was she feeling?",standing in queue,A,frustration,delays,being annoyed,moving forward,progress
d64a676e9d22e7edd12e7f4ce267a9f0,What do you go to see for live entertainment?,entertainment,B,movie,show,concert venue,casino,theatre
118a9093a30695622363455e4d911866,In what Spanish speaking North American country can you get a great cup of coffee?,cup of coffee,B,mildred's coffee shop,mexico,diner,kitchen,canteen
2ef2ae21a2d3a9ecbd5c45ff378d10e3,Sally was afraid of danger and always double checked what?,danger,D,fight enemy,secure,being safe,safety,vicinity
22b8219d43a38a1130e0a35ece152337,Where might an alien use a vacuum?,vacuum,A,space,closet,kitchen,orbit,container
2d2b69ad187b7c40273ab13caab7dc19,What type of geographic area will you find a marmot?,marmot,A,mountainous area,wood pile,jungle,petting zoo,animals
9698232e3599157431c9dc8f2fe179cd,What is the hopeful result of going to see a play?,going to play,B,sit,being entertained,jobless,meet,laugh
059155c50d1b04da7373e309868e67d2,"If I put in my key and open a hinged door, where am I likely entering?",hinged door,C,kitchen,safe,own house,building,pantry
65435b996ce9d1685bebb74b49c1ba7f,Blue read material outside of his comfort zone because he wanted to gain what?,reading,A,new perspective,entertained,understanding,hunger,tired eyes
4a4f6408fae400ce0beb5bea0f9913e9,Where is a drug kept in a home bathroom?,drug,E,nursery,ghetto,cupboard,pharmacy,medicine cabinet
7f25dbab26165b3c8800c2733ca759d6,John was an aristocratic fox hunter.  Where might he live?,fox,B,england,new hampshire,street,arkansas,north dakota
8f2976690c83be6b8fa3a1196dfd9722,Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?,remembering,E,phoning,nostalgia,writing down,active,being prepared
484f6e4fb8e6431b010c299490b72e3c,When you slip from a ladder propped on anything what will you do?,anything,B,obesity,fall down,matter to,whatever,surprise
1f492f556fae64f72ce36b6caa242dd0,"Steve thought that it was possible, but he agreed that it was what?",possible,C,no go,unable,unlikely,impossibility,cant do
39572e0ba1db51fa74f7fc2d90c5ec7f,Where would you get some wood if you do not have any?,wood,D,carpet,boat,river,lumberyard,synagogue
7c95d753943c58757fe6e1ccff8aea14,"His parents thought he was suffering from boredom, but the teen loved to lay in bed and just do what?",boredom,C,meet interesting people,lift weights,listen to music,play chess,entertain
c908d7c4633c5e6add9463bdd47cb27e,"If while driving to work another car makes a careless maneuver, what emotion might you feel?",driving to work,E,boredom,happiness,transportation cost,getting there,road rage
99789083502af9bf111876a00fae44ac,If not in a stream but in a market where will you find fish?,fish,C,stream,aquarium,refrigerator,boat ride,market
b0f7d7978ac41c465108a92660d70e84,When wildlife reproduce we often refer to what comes out as what?,reproduce,D,raise children,have children,photo copy,offspring,accidently got pregnant somehow
720b98fbc365736597147c984f6bd301,"The cancer patient was expecting to die, so he made out his what?",die,B,not to live,write will,never want,seek help,go to hell
b1d5cdbf8ef7b3954a6a352bd4df5866,"The merchant wanted to open in a high-traffic space, where did he rent space?",merchant,A,mall,business,store,sale,sell goods
91f512273a2da7ae796919069b20d6cf,"Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work?",first violin,E,music store,obesity,symphony orchestra,ochestra,violin case
5215e26c99b2a9b376fb1c70096a388a,"They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?",apple tree,B,maryland,indiana,on tv,park,new jersey
e3949997bf9d02048cfa5d8dd0f287aa,Seafood restaurants are used to draw tourists where?,seafood restaurant,E,maine,shoe shop,city,boston,coastal cities
af3b9a8b1962cd3bcd19e644d873e7bc,"The hardcovers were especially tall, so he removed a shelf on the what to make room?",shelf,E,chest of drawers,grocery store,hold alcohol,nightstand,bookcase
49b4c9e1bd7946a819e173ce8fa4c7c9,The teacher doesn't tolerate noise during a test in their what?,noise,E,movie theatre,bowling alley,factory,store,classroom
fce1c5d069758aea57a787fc98dcf7a9,Where is a great place to buy fresh fruit?,fruit,E,san francisco,refrigerator,big box retailer,tree,market
3526550b02d9594abd4fc43553010fc6,"The dad wanted to protect his house, where did he put his gun?",gun,D,police station,crime scene,restroom,drawer,holster
26c854d933d2115e7636fdcde57eb463,Athletes soak in hot tubs to relieve what after playing baseball?,playing baseball,E,fame,errors,pain,strikes,sore muscles
6a1bf527af9ed0685ac5e2bf0bd76647,Riding a bike for a long time can cause what?,riding bike,B,enjoyment,fatigue,falling down,getting lost,thirst
821b32d39f57396979069b948030afe9,The kids didn't clean up after they had done what?,kids,D,learn things,play games,disneyland,play with toys,talking
7a28d31e66d870370642de3be47b9ef9,Because of his anger he couldn't clearly explain or what?,anger,D,cool off,write letter,get mad,illustrate point,destroy enemy
3310b5b24f03d67179fababf9ae95144,"The field general began to write out a letter to the king, he was told to send what when the enemy was near?",letter,C,syllable,english alphabet,word,email,invitation
