id,context,question,answer0,answer1,answer2,answer3,label
3ICOHX7ENEPK2KH2BZM1VUYP54O0E4##3A4TN5196NXJ361E3ITT0ITSX17CHJ##AJ7NSZOAFP05U##Blog_1604710##q1_a1##3QGTX7BCHRGH8MUZ4S6QXZVYAW0Z5E,"So , I woke up this morning feeling much refreshed . I still took some NyQuil before going to bed , but I slept through the night and had no breathing problems that I can recall . Both sinus rinses today proved I am getting better and Luke gave me some Lysine ( along with a multi vitamin , a glass of cider and some scrambled eggs ) to take this morning . I ' m going to fly med free tonight and see how I do .",What may have been your reason for taking NyQuil before bed ?,I needed to clear up some congestion .,I needed to clear up the Lysine .,None of the above choices .,It makes me feel refreshed in the morning .,0
3RWB1RTQDJLRNBCOVJ3RQNF397DP8W##3CFVK00FWMJHEWCW0FJOEC6GCP0L6X##AJ7NSZOAFP05U##Blog_472273##q1_a1##3TD33TP5DNGIWU30TAH4JS4HB1DBAC,"The people of the United States enjoy great freedom , material prosperity , and a rich historical heritage that contains at least as many great and noble accomplishments as ignoble moments , a claim that can not be made by many other countries of the world . I am greatly privileged to have been born in the land of the free , where I can live in safety and comfort - something that this country 's citizens should not take for granted , for there are still many people in the world who do not have these basic needs - and have plenty of time for exploring my creative side . I hope my works are enjoyable enough to be at least a partial repayment for the good fortune I enjoy by being a citizen of the United States of America .",What may be the reason for you growing up in safety and comfort ?,I was n't raised in a rough country like the United States .,I had many noble acclompishments that let me enjoy safety and comfort .,None of the above choices .,I was raised in a developed and respected country .,3
3Y40HMYLL3W9O6KZ4BQD8Q731CIUXF##392CY0QWG46G4XZJGL5WHWIJ6KHI4K##AJ7NSZOAFP05U##Blog_1539027##q1_a1##3P7RGTLO6GRJPX7UZNUXIVN7Y4ZKA0,"The shore 's bounty supplies all the materials needed to play this game . WHAT YOU NEED : Shells , pebbles or other beach finds HOW TO PLAY : 1 . Draw a dartboard with six concentric circles and give each ring a point value .",What might you need before you play the game ?,You would have to buy a dartboard .,Typical things at the coast .,You would only need shells .,Typical things from the store .,1
3S1WOPCJFGRCA1JHD9K7L1PDBEBJE1##3EJJQNKU9S38EJRQ1I7OXF45RDWRHL##A2KYOM2ZGYDJGT##Blog_283188##q1_a1##334ZEL5JX8T6FKE3EF8HACYM48SSOM,"In child support cases the judge does have jurisdiction , but he seems not to be exercising that , and Lord knows it would be in my favor for that to happen . Should I just file an appeal now and take it to a higher court , or is there another avenue ? I simply can not afford an attorney . I am unemployed , presented that to the court , and the judge assigned arrears payments that are just as much as the child support I used to pay .",Why ca n't the writer afford an attorney ?,Because the writer should file an appeal .,None of the above choices .,Because they do n't have a lot of money .,Because the judge is not exercising .,2
3FCO4VKOZ4BJQ6IFC0VAIBK4KNHE73##3EKVH9QMEZ2AYJ530W9X5MHZOEID2L##AJ7NSZOAFP05U##Blog_1189429##q1_a1##38XPGNCKHVEI3JLPPQYD71COMMTV4T,"It smelled of a firearm . And for a moment , she could feel the motions it would take to kill her , as if seeing it before they actually did it . So one could imagine her surprise when no such death ever approached her .",What may have caused her to be surprised in that moment ?,She thought someone else was going to meet their demise .,None of the above choices .,She smelled a firearm .,She thought she was going to meet her demise .,3
3GITHABAC0ZVS0XTJLTY45LDG5Q2NI##3VBEN272MNELARVZGY1BUNL9599GSM##A2KYOM2ZGYDJGT##Blog_74805##q1_a1##3T2HW4QDUXLN1GL1F4ZZYHZFNCPC9F,"European rep agent is looking for talented photographers , make up artists , fashion stylists , directors and models or talent . We are new in town , however very experienced in the industry . No BS stories like we got a million jobs lined up for you guys . We just wanna work on a great rep agency with some interesting features .",Why are they looking for talented photographers ?,Because that 's part of their business model .,Because they 're looking for make up artists .,Because they 're looking for fashion stylists .,None of the above choices .,0
334ZEL5JX8T6FKE3EF8HACYM3BXOSS##3EWIJTFFVRMNP4FW11S3KEUEUATE0D##A1S1K7134S2VUC##Blog_280531##q1_a2##3G3AJKPCXN6Z7DGUU1LXE0GI43NY4X,"I should be trying to drag myself to bed but instead of updating Mr. Livejournal here . It turns out my step - sister , who just turned 18 last year and as far as I know , has n't even graduated high school yet , got married and did n't tell anyone . Craig was actually the one who found out that she was married .",Is Mr. Livejournal a real person ?,None of the above choices .,"This person keeps a journal about daily events , they have named the book Mr. Livejournal .","Mr. Livejournal is a hallucination brought on by sleep deprivation , he is not real .",Craig is related to Mr. Livejournal and together they keep up to date on family matters .,1
31J7RYECZLOJLQD54615UWJBQ5OL1K##37M28K1J0RBC680ZN7ONE2VA5DUJAH##A1OPGPTQJ48XOY##Blog_921108##q1_a1##30OITAWPBSHEIOWH1WD098WV01TH9M,"I know Nico is pretty self - conscious about how she laughs and for him to be all ... ew ... about it , made me really angry . I looked at her face and it was pretty much solid ice and anger . I could write an emo song about it right now , but I 'll spare the world the agony .",What has Nico done since he laughed and mocked her laugh ?,She has avoided spending any time with him because she thinks he 's a rude person,She 's forgiven him and started to like when he mocks her,None of the above choices .,"She 's started to like him because of how he treats her , she 's a sucker for punishment",0
3JU8CV4BRNQ92SYBMY4NF7TBHGTPOV##3PZDLQMM0W0FOGYWKXQMDENQ8M1C2L##A3GVXFBYAU9HP##Blog_1002820##q1_a2##362E9TQF2J4TTTU9LK1V11JX4SIIGO,"And i almost forgot about the day of the exam . K and me both gave it together ( like all the other exams ! ! ) and we were gon na go spend the day after that with B , E & LM ... K finished her exam before me as usual and was waiting for me outside ( well atleast that s what i presumed ) . But what followed was a frantic search for her over the next 20 -30 minutes without any luck .",What will I do when I am looking for K for the next 20 - 30 minutes ?,I will check all the places K normally goes .,None of the above choices .,I will call K 's pager to ask her where she is .,I will check all the places K normally avoids .,0
3SZYX62S5GYJUNPM1Z27EHER7QC75H##3WAKVUDHUXE31MDVS3GHBD2VK577UY##AJ7NSZOAFP05U##Blog_1246737##q1_a1##3TCFMTM8HG2SETQ4EYV07Y8AD3K217,"Today , I finally came up for air . For the first time in over month , it did not feel like there was a giant weight placed upon my chest . I have a job offer . And while its not perfect , like anything in this world is , it is good and worthwhile , and slightly better than my fears told me it would be .",What may be your reason for taking the job offer ?,My current situation requires a job .,I took the job offer because its perfect .,My current job is n't worthwhile .,I need to improve my situation .,3
31HLTCK4BN9YFZE9KR0EGQ9RATOGVP##3180JW2OT7RUVRNPC896YP3XEVTJ5P##A1S1K7134S2VUC##Blog_738658##q1_a1##3BFF0DJK8ZQMSCJBAWUG4M493A1TSP,It was so exhilarating ! We drive at 120 km / h per hour and it does nt feel like speeding at all ! Korea 's Hyundai Truck is very very good ! But i do nt think i 'll be able to drive here since the driver seat is on the left .,Why does this person not want to drive the Korean Hyundai truck ?,The Korean truck is filled with faults and is not exhilarating to drive .,None of the above choices .,The truck is left hand drive and this person is used to right hand vehicles .,120 km / h is far faster than anything this person has driven before .,2
38VTL6WC4CRH3WKU8647JSMW3GOY55##3DY4FPOOA43SR9LHQ40S4EJN2HHRVN##AISNLDPD2DFEG##Blog_262078##q2_a1##3PA41K45VPI2HM6C5CNL4L7GRXU7PA,"Mom . "" And like me , she had no family or friends who could help with childcare . So like me , she found a daycare center that met her part - time needs . In sharp contrast to my job as a ( gasp ! ) writer for the evil MSM , her nursing job was deemed by the other moms to be useful and worthwhile -- in fact , worth putting her baby into daycare for "" just a few hours , what harm could it do ? """,Why was her nursing job deemed to be useful and worthwhile ?,Because she would take care of them if they were sick .,Because she was paid a huge amount of money .,Because she was taking care of sick people .,None of the above choices .,2
3TKXBROM5VO3KVKATQMYYEBDVYLIJ5##3180JW2OT7RUVRNPC896YP3XFC55JM##AO33H4GL9KZX9##Blog_1394344##q1_a1##3L55D8AUFCB22HT9NGRFXYS6WDPCY3,"But then , "" related but distant "" describes my family perfectly . Most of my mother 's family is dead , including both of her parents . She has one full sister left , a couple half ones , a nephew , and a few distant cousins . That is the sum of the Ashe family tree , which actually now lacks the surname .",Why might I think the Ashe family lacks the surname now ?,It might be possible that all the female members took up their own surnames .,It might be possible that all the males members took up their own surnames .,It might be possible that all the males members took up their wife 's surnames .,None of the above choices .,3
35XW21VSVGCJFACZHPGPQX6KGWJLS4##3QFUFYSY9ZDHZHYMVGNBM1HIJTIF4T##A1OPGPTQJ48XOY##Blog_337539##q1_a1##3Z56AA6EK6EDSJVUUMQ1H3DPRKY6MJ,"He 's had breakfast , and he 's just waking up from a nap , so I 'd better go . Just time to say two things : Thank you Bria . And Dessie . You 're both fantastic . And , to who ever came up with the idea of Dad Club : You are a bloody genius .",Why do you have to go now that he has just woken up from a nap ?,"My child is young and need 's my attention throughout the day , I have to go take care of him",He likes me to be there when he wakes up so I need to go be there,He is demanding and will need me to do something for him,I know that if I am not there as he wakes up he will cry,0
3PKJ68EHDNUOUBAJ3ASD64MQ35FJHF##3FE7TXL1LJL4NS985IFH5LOY7JE2Q2##AJ7NSZOAFP05U##Blog_138171##q1_a1##3IV1AEQ4DTRAVP8XK4A7LPHZTNF8JT,"Now that the Olympics have come and gone , I can proudly and yet rather oddly proclaim that I did not pay attention to the Olympic Games this year at all . Not even 1 % . I saw a lot of fuss about Michael Phelps , but other than that I really did n't pay attention to who won what , I did n't watch any coverage , and I did n't read or watch anything on the internet . Well , I did do two things .",What may have been your reason for not watching the Olympic Games this year ?,None of the above choices .,I just did n't care about the fuss around Michael Phelps .,I just did n't care about it .,I did n't have time to watch the coverage .,2
3XEDXEGFX3M8UVA5NNL41RNMW8V0K1##3GU1KF0O4JZDBT8POYT3691SW8FPB4##A2KYOM2ZGYDJGT##Blog_495809##q1_a1##32XN26MTX1XY8QRUSL958PO9ECGL0P,"I crossed paths with a pool of despair , it looked so still and dark , so deep and wide . First I was only knee - deep , but a heaviness dragged me in . It was dark , it was still , and it was cold . I scrambled out of the depths of despair , tried to shake off the muck .",Why did the writer scramble out of the depths of despair ?,Because they crossed paths with it .,Because at first they were knee - deep .,Because they did n't enjoy it there .,Because it was still and dark .,2
3LN50BUKPV9M2IW7P8CVVS19TLULPO##3XIQGXAUMD6VIQ7QX8R4VK1ZF1G7XB##A1OPGPTQJ48XOY##Blog_695838##q1_a1##30ZKOOGW2YKHJWL8RDOFDGR8PUFA1V,"We had a bunch of visitors today , and they all just left . Afterwards , Bruce and the girls crashed , so I took their pictures . Do n't they look cute . I think this is the first picture of the three of them together .",Why was this the first picture of them you were able to get with them all together ?,They think pictures are boring and always refuse to take them,They do n't like taking pictures together because they 're not photogenic,They do n't like hanging out with one another and do n't hang out together often,"They are all different ages , and young , and from different families so it 's not often they are all together",3
3ZCC2DXSD9IF5KUEJ894UPKPZZTYYF##3GGAI1SQEYD5VK2PUF96SN1OE6DCM1##A2KYOM2ZGYDJGT##Blog_1495266##q1_a1##35JDMRECC6NHDOSNP1B4GML5C0RGEV,"I fetched my bag and walk toward the door . Unexpectedly , my father came onto me , eyeing with the thick rimmed spectacles of him . I lifted my face knowing the fact that the bruise on my face is showing with against my pale complexion .",Why did I have a bruise on my face ?,Because my father came onto me .,Because I was hit in the face .,None of the above choices .,Because I walked toward the door .,1
3421H3BM9CVA9UR7PWGLLLCADTTJ9P##3NLZY2D53S4PJ3UNZL9MCFBGJAWQLF##AO33H4GL9KZX9##Blog_1106791##q1_a1##32K26U12DP2V3F4II1Z6A56UZ53VDZ,"This Sunday was fairly uneventful . I would have had to teach sunday school had I not done it the week before we left for youth quake . There was a baptism this sunday , but somebody forgot to clean the baptistry and there were some huge spiders floating around in the water .",What might have they done after they found spiders in the baptistry ?,None of the above choices .,They would have kept the baptistry and leave the water it had already .,They would not have cleaned the baptistry out and filled it with dirty water .,They would have cleaned the baptistry out and filled it with dirty water .,0
3P888QFVX3SF8F0J2D7CNEVDTASQOK##3TU5ZICBREZF97BXLZOIFC11S0HQ81##AJ7NSZOAFP05U##Blog_621451##q1_a1##3HY86PZXP0WK992K7IQ19ZHZA5VE14,"It was really hard on me , but I watched myself and tried to stick to a steady routine . I was even better this past september , when I went to school for my senior year . I 'd worked out and exercised over the summer , and I felt better than ever , since I 'd lost thirty pounds . Not even three weeks into the school year , though , I got yet ANOTHER mono - like virus . It caused a serious relapse .",What may be the reason for your work - outs being hard ?,My work - out schedule is too tight .,I 'm not losing pounds when I exercise .,I ca n't maintain a consistent schedule around them .,None of the above choices .,2
3I01FDIL6OMM6O6GURFV809J28SD2T##3BGYGHDBB0Z2QY6UN41G11E4YRD22L##A29RROPO0Z90XV##Blog_275302##q1_a2##3IWA71V4TKUOMVUY8TSASKTOZ8U6XM,"Then when lunch time actually comes I am not hungry . It is funny how our bodies get into routines . It is nice to be back . I love my new kids , they will be a challenge I think . I ca n't wait to go to the baby home on Saturday .",Why is she no longer hungry at lunch ?,She is excited to see the baby .,She is challenged by her kids .,None of the above choices .,She is too busy with the new school year .,3
3CMV9YRYP5F5AWSGETJBQU35DGGLJG##3MD9PLUKKLTOLVYZYU8EG0R9SE5ZNJ##A1OPGPTQJ48XOY##Blog_260799##q1_a1##3JYPJ2TAYKMFWFLINVLXSDKXPSTFPG,"We have dogs ... lots of hair flying around the place and they are very curious . ( into everything all the time ) . Therefore , I wanted a place where pets and kids could n't get into and mess up my folded diapers !",What did you do to store those diapers ?,I put the diapers in a small box on the couch,I found a cabinet high up off the ground which they were not able to get into,I used a box and put them on the ground,I put them on my bed,1
3ULIZ0H1VA35J1AKCJLYD7NE4FO51G##3Z9WI9EOZ0MMRFEVBYYRW3IRXWGHKJ##AO33H4GL9KZX9##Blog_626340##q1_a1##3S8A4GJRD5HWI6P38ERS4ZW2IFW6VQ,"There 's a nice kid 's section where she plays and I read sitting on a bean bag near her . She 's crawling and pulling herself up already ! In spite of or because of the heat , our vegetable garden is going full steam ahead .",Where might be this kid 's section be located ?,None of the above choices .,This kid 's section might be located in a playground .,This kid 's section might be located in a McDonald 's .,This kid 's section might be located in a library .,3
3K2CEDRACDFJUH66QZYUSD53AUWTM7##3A9AA95ATZ1QH2QN7LEQVLP9PR65PE##A2VNR6984SDFGQ##Blog_1318115##q2_a1##3JU8CV4BRNQ92SYBMY4NF7TBHPKOP3,"It felt like she did n't care to talk to me . It felt like she did n't like me the way that I liked her . Later , I talked to Magnolia about it . She told me not to give up and keep trying . She told me that I have to make her like me .",What does the boy do after talking to Magnolia ?,The boy tells the girl he is very interested in her and wants to go out .,None of the above choices .,The boy ignores the girl and finds a new girl to pursue .,The boy argues with the girl and demands she be his girlfriend .,0
3TD33TP5DNGIWU30TAH4JS4HA68BAG##39L1G8WVWT6KMVKH80F7FS9R9O613W##AJ7NSZOAFP05U##Blog_876259##q1_a1##3BC9H1KCYWQBGFZE47RG9SZ9OWLYWI,"I ' m thankful for having been brainwashed that "" all you have is each other , you got ta stick together ! "" I was just talking to my sister , well e - mailing , with my sister about her starting a blog . I think that would be great , she knows her grammar and punctuation well , unlike others I know ! :) And I was just thinking how great family is .",What may be your reason for e - mailing your sister ?,She wanted me to write on her blog .,My sister e - mailed me to check if I would stick together with her .,She wanted to discuss opening a website centered around her writing .,She wanted to discuss opening a website centered around our lives as sisters .,2
37VHPF5VYC18TM3KQEHL6NGWAM1C84##34J10VATJGW8YDNAUL09S1VFU6GIQE##AJ7NSZOAFP05U##Blog_370873##q1_a1##3VZYA8PITQCK61O90YTYR0SCSG9502,"I have been talking to a guy for a couple weeks and he is really cute , has a great job and he has a lot of girls who want him but he wants me . We went out last night . He went to kiss me bye and it was really awkward and to be honest , I just am just not into him . I may still be clinging to my ex who I just broke up with in May due to his cheating .",What qualities does this guy have ?,"He 's just like my ex , I feel like he 'll be another guy that cheated on me .",He 's super attractive and has an amazing career .,None of the above choices .,He 's super awkward and I 'm not really into him because of it .,1
38LRF35D5NAX88DLKMJP1AIZTHMU3J##39O5D9O87W749YUFOX4RWOSIDL33CU##A2KYOM2ZGYDJGT##Blog_763994##q1_a1##38RHULDV90TPQFK90P5DN45LYDOWIB,"IM 18 MY SIS IS 18 AND MY BRO IS 16 ! ! ! ! what the hell ? ? ? so then i made him breakfast , which was 2 toasted hot dog rolls with sausage and bacon on them ...",What 's a possible reason the writer made someone breakfast ?,Because the breakfast was 2 toasted hot dogs .,Because the writer is 18 .,Because the writer 's sis is 18 .,Because they wanted to do something nice for him .,3
3PGQRAZX04YI9YI5K2HFC3WOIAYYSU##35BLDD71I9C1T0780LU5QHLMEZIVZ7##A394JO4NEPCY3M##Blog_832622##q1_a1##3OID399FXIL67IISIMU2SJ38B8ADFI,So my mum has just gone shoppin on her own and b4 she left put a bowl of SWEETS next to me ASIF IM GONNA EAT EM ! ! christ does she not get that i do nt wanna eat ? ! n she shud just leave me alone urrgh i hate being this down i ai nt been like this for ages ! ! i just hate it so much i do nt get wtf is rong with my mum ! ! !,What might be different if the narrator was n't down ?,They would want to eat,Their mom would n't leave them alone,They would n't eat the bowl of sweets,They would n't want to eat,0
3XJOUITW8UPVL75RYUTBHO10SPKQTV##3U0SRXB7CE30OFD14G212Z11EGLNRP##A33PQXKQHFVF3V##Blog_487034##q1_a1##37S0QRNUFDULB8CET0DGWZ8LDAT88D,My parents want it out of their basement and I obviously have no use for it . It is the same as pictured below except the front bar is powder coated black and NOT chrome . It is very similar to the black push bars you see on the front of cop cars . It bolts right onto the front tow hook locations .,What is the likely description of this passage ?,I am trying to show off my things that I own .,It is a sales ad for something I found in my parent 's basement .,It is me just describing something of mind to a friend .,None of the above choices .,1
3BKZLF990ZXR2T4L80GAP5TF7BMYQG##3WSELTNVR406KBW4Z12RG8IJ1S8ATO##A2KYOM2ZGYDJGT##Blog_1547707##q1_a1##3BKZLF9901D6WI3SSYSAH3HN0NUQYG,"I was sitting on a concrete cube just off of the rocks and the sea was lapping against me . I remember everything I was wearing . There were little crabs coming out from my rocks and I was taking pictures of them with my polaroid camera . There was an airshow overhead , planes flying loops around the bridge before me .",Why was the writer taking pictures with the crabs ?,Because the sea was lapping against them,Because they thought the crabs were interesting,None of the above choices .,Because planes were flying loops around the bridge,1
3IYI9285WUEC7SYA1GQCNBDIJ5PJCH##3V0Z7YWSI1FBNP4WBELR36BFTYY2V1##A1OPGPTQJ48XOY##Blog_1520941##q1_a1##3R5OYNIC2ENPFK3JIFQM9HZYG0PTPO,"So , while i was in the library in my old neighborhood I had my things outside beside one of the trees mostly out of sight . One duffel bag and my backpack was taken . The things I had to eat , all of my spare footwear , my soaps , knives , changes of clothes , toothbrushes , fingernail clippers , razors , etc . all now out of my possession . Evidently it was known it was going to happen , and monday was going to be the day , but I could n't be warned of it , otherwise I would be keeping a closer watch on the things I was carrying .",What did you do after realizing that your things were stolen ?,I set about reporting the theft to the campus security but I knew nothing would come of it,I bought the replacements immediately,I let it go because I thought there was no point doing anything,None of the above choices .,0
3X4Q1O9UBJ0KWMUBQCA6FL2QHKZO7V##3LBXNTKX0UAERYUQW21O1EGEF0G9X9##A33PQXKQHFVF3V##Blog_946##q1_a1##3TD33TP5DNGIWU30TAH4JS4HB7GBAR,"Earlier this week I had a minor medical emergency . It was nothing life threatening , but it was not insignificant . The resultant encounter with the healthcare insurance system was nothing short of insanity . Had this been a more serious malady someone might have died , and no doubt some have .",Why was the insurance system so crazy ?,They paid so much money that I did n't know what to do with it .,It was difficult to understand and I did n't know how to handle it .,The minor emergency was not as expensive as the insurance thought .,None of the above choices .,1
31D0ZWOD0CDHC70QVUKFZB8YKPQA0J##3ZAZR5XV04X5UR1894Z00PXXTRTCZE##A1S1K7134S2VUC##Blog_346772##q1_a1##3P7QK0GJ3VZP9PBCM94SZSSMQMA2ZH,"It looked nothing like the one in Manhattan . It really felt like I was in Taiwan , Hong Kong or China , not that I ' ve been to those places , but it did n't feel like America . My friend took me to a hot pot place ( also known as steamboat in Singapore ) .",Why did they go to a hot pot place ?,None of the above choices .,The wanted an experience similar to what is found in Manhattan .,To get food similar to what one would get in Singapore .,To feel like they were having an American meal in a strange country .,2
3URJ6VVYUPL8JADL4G0ZKBU8X95O4D##3W2LOLRXLCDZG9SY73ALA7KXH9PKRZ##A2KYOM2ZGYDJGT##Blog_447278##q1_a1##3UQ1LLR26CMU93PCKN6YXV0MNQ4LAC,"I thought it would be great to look at along the way to Kentucky , but never got the chance to do so . As circumstances would be , I would end up being pregnant with a boy . Only to have a doctor in Kentucky tell me to abort the baby , in order to have a large tumor that was growing in my neck , removed . This was NOT an option , of course I was going to have the baby , and later worry about my health .",Why was the writer told to abort the baby ?,So she could travel to Kentucky,None of the above choices .,So she could spend more time with the doctor,So she could spend more time worrying about her health,1
3SSN80MU8CMGRLGGQZABA5AX6FFXKS##3PQMUDRV7S4VHFZRHDV0JZ4T5JLII9##AJ7NSZOAFP05U##Blog_1358967##q1_a1##3MJ28H2Y1GM59IGS2JV9H1OUQPVO5T,"But the fact that she did n't even let me know hurt . Then someone a few nights ago basically pointed the finger at me as if I was the bad guy for wanting to take care of myself . I needed it because if I did n't it would have also taken it 's toll not only on me but my relationship , friends , and family . I did n't need to do that .",What may have caused people to call you the bad guy in that situation ?,I did n't even let her know .,None of the above choices .,I had no desire to be independent .,I had a desire to be independent .,3
3Y40HMYLL1GUUHLSKDEDGSJV8WHXU9##3P59JYT76MIHF810MM9CAQZLPR2T2W##A3542PB4Z0NE80##Blog_1135677##q1_a2##3BDORL6HKMRT5GHN9LZLP2Z9TOUCRH,"Sony has announced the release of the KDL-40ZX1 , they world 's thinnest LCD TV ever made at a tiny 9.9 mm thick . The LCD is full HD 1080p capable and includes 120Hz MotionFlow for improved image quality during fast action scenes . Sony says the TV has a 3000:1 contrast ratio and a very decent 178 degree viewing angle .",What makes the KDL-40ZX1 special ?,It has a really good price point for all the state of the art features they offer .,It uses state of the art technology and has a good contrast ratio while being one of the thinnest tv 's available,None of the above choices .,Sony has released this tv to commemorate various technological advances,1
3YD0MU1NC2ZG0T13WVTOMSUDZ1WA73##3Q5ZZ9ZEVPDQGLSZ170FH16AVQ885R##AO33H4GL9KZX9##Blog_1157234##q1_a1##3OEWW2KGQLP0DVVLHPDSFDCM31PODN,"Not only is her personable , he 's a great teacher . I ' ve learned about electron orbitals about 5 times in my life from 5 different teachers and never have I understood as well as today . I really liked the whole workout - after - class routine . Since being in class is kind of like being in jail ( i.e.",Why might have the previous 5 teachers failed to help me understand orbitals as well as today ?,It might be because the teachers were well trained although I did n't study .,It might be because the teachers were not well trained or I was n't prepared .,It might be because the teachers were well trained but I was n't prepared .,It might be because the teachers were well trained and I was prepared .,1
3T2HW4QDUV587RMUV6NZ6JB7UPZC93##3G5F9DBFOQV07Q87A2CYYCT8BH6HVW##A29RROPO0Z90XV##Blog_1141076##q2_a1##3YLPJ8OXXARA78QKP5ZVVM992O04XM,"Okay , I ca n't keep up the denial about this any more . I was shooting some video this morning for a possible upcoming episode of the Rob Show , and it is plainly obvious that I ' m developing a bald spot on the back of my head in classic male pattern style . I guess that 's better than having it thin out from the front , but it 's still sad to see it go . Now I have a reason to wear that hat , I guess .",What will be the result of him going bald ?,He will shoot more tv shows .,He will hire a new assistant to help him .,He will become very self conscious of the back of his head .,None of the above choices .,2
3MJ9GGZYO5KO8H34AHOTIZ1DG0VA2D##3Q5C1WP23PGN0A7LMJ30UP7BN2Z51S##A2LTOS0AZ3B28A##Blog_456712##q1_a1##3IV1AEQ4DTRAVP8XK4A7LPHZTLBJ8W,"We got out of the car shooting glaring looks at Mum and her fucking pigeon . For half an hour we called relatives to see what they could do , and then a miracle happened . We were saved by a bunch of blokes in a tow - truck who asked if we needed help . In an unbelievable turn of events , five minutes later , one bloke was stopping traffic coming up the hill , one was stopping traffic coming down the hill , and our little Vauxhall Corsa was being towed out of the shit by a great big truck .",What happened to make this person mad ?,None of the above choices .,Mom 's car died on the road .,The little Vauxhall Corsa was being towed .,They could not get ahold of any of their relatives to help .,1
334ZEL5JX6DRLVFWUHWHIEAEB7OOS0##3QEMNNSB2YXHKK2968QS1DY7ZFP7DM##AJ7NSZOAFP05U##Blog_449062##q1_a1##3ODOP6T3AUY96SNN1GE25WFDPQA246,"Its that simple and I can absolutely prove to you that it is working right now ! Can you imagine collecting $ 10,000 on your first deal ? I am doing one per week and just started about 2 months ago !",What may be true about your first deal ?,None of the above choices .,I earned no money from it .,I earned a lot of money from it .,"I had to wait 2 months to collect $ 10,000 .",2
3QMELQS6Y7P4PZ8MZUMI327ZXCIR6N##3K9FOBBF2KY4G6HVJTH58LGBFKKNL7##A3GVXFBYAU9HP##Blog_1106550##q1_a2##3EHIMLB7F9DE4JD7W47M9C1LHDOH8D,"I would n't worry so much , except that there were still cars parked outside our house from patrons to the Criminal House ( across the street , the one with the crowbar beating and the drug dealing ) , and we ' ve called the cops on them numerous times , and some guys showed up on our doorstep once before , apparently convinced that some guy they were after was in * our * house . And so I do n't hear anything for a long . Long time . And I ' m sitting upright in bed , wondering if I should move , and the minutes get longer .",Why am I sitting upright in bed wondering if I should move right now ?,Some of the patrons from the criminal house tried to break into my car again .,Some of the patrons from the criminal house tried to break into my house again .,Some of the cops casing the criminal house came pounding on my door again .,Some of the cops casing the criminal house came pounding on my car window again .,1
31MBOZ6PAQ5I2IMA412P3QQAN31LCA##37W3JXSD69NE3ZX8U9XIYCVYGW7YWL##AJ7NSZOAFP05U##Blog_424596##q1_a1##3J9UN9O9J56SD03UP0XSSABHATO0JR,"School is like a sanctuary to me , its the only place where i m able to be without worrying about her . Almost everybody likes me , I do nt start trouble with anybody . Today i was nominated homecomming prince for my class but I could n't do it because I ' m still grounded .",What may have caused school to be your sanctuary ?,None of the above choices .,I 'm the homecoming prince .,It lets me get away from someone .,I keeps me away from trouble .,2
38EHZ67RIMQ0VNLTM1NN1W26SN4MG6##3R2UR8A0IBE23WZPEU8666NU48WXOW##A33PQXKQHFVF3V##Blog_649159##q1_a1##3HEADTGN2R6P4PNN02UQFUNYEYSVRN,So I was pondering about the end of summer and how the new season of television will be starting up soon and how I ' m almost caught up on all the shows I like and I started reflecting on how much my television watching habits have changed over the years and I ' m gon na share the timeline with you . early years - middle shcool : My parents threw away our antenna so we could n't watch t.v . We still had a t.v .,Why did my parents throw the antenna away ?,They got into a fight and used it to get back at one another .,They thought we were watching too much TV .,They thought removing the antenna would fix the TV .,None of the above choices .,1
3H781YYV6TG6O4FMP3YBN7CM9C0ETR##39DD6S19JQ95W0MFLYTVYF9R7POZES##A2KYOM2ZGYDJGT##Blog_1265522##q1_a1##37NXA7GVSVKE1RSAVIXUTIEZ83LLVZ,"like its prolly so hard for her cause she has a complete life with this guy you know - kids , a car , a house .. it must suck really bad trying to figure out what to do REALISTICALLY . idk i just keep telling claudio .. please do nt be like that .. i feel really bad for his mom though i would be so pissed and hurt .. papi must have some big secret going on . that s prolly how my family would be right now if my dad woulda stayed .. prolly woulda just fucked my moms , katies , and my life up .",What is so hard for the woman ?,She has a hard time being realistic .,She is dealing with a difficult situation in her life .,Papi has a big secret .,"She has kids , a car , and a house .",1
32204AGAABAE39KIV47A9RUAB6SHGP##3PB5A5BD0W4KW4C08YR07Y14CPEG7E##AJ7NSZOAFP05U##Blog_406113##q1_a1##3IZPORCT1HNKMOS3VDDM0TWP6L3HR9,"I am speaking rubbish . Are you scared ? If you are , just look up and you will see a little ' x ' button there . Just click on that and you can say goodbye to me , go ahead .",What may have caused people to be scared of you ?,I stopped using my aggressive tone .,None of the above choices .,I was using an aggressive tone .,I asked people to say goodbye to me .,2
3I6NF2WGIIAHH5ZUE0I1CSFSZAZG57##3V0Z7YWSI1FBNP4WBELR36BFVP3V2J##A33PQXKQHFVF3V##Blog_762866##q1_a1##322ZSN9Z5IY3QRH0KVYY6JO4QLZT44,"When I imagine a favourite place , there is always background music playing in my mind . Music really does move me and give me an infectious joy , starting in my ears and taking over in a heartbeat . Munich was not a high point of the trip for me , but the music that resounded in the streets redeemed it in my memory .",Why is there always background music playing when I imagine my favorite place ?,"Music is like a heartbeat , it moves with you",Music is important to me and is tied to all of my memories .,The music was there when I made the memory .,None of the above choices .,1
