question,title,answer,passage
has arkansas ever won a national championship in any sport,Arkansas Razorbacks,True,"In 1957, Frank Broyles was hired as the head football coach and served in that position for 19 years. Broyles' team was awarded the 1964 National Championship by the Football Writers Association of America and the Helms Athletic Foundation. At the time, The AP and UPI both awarded the designation before bowl games, and gave the award to Alabama. However, Alabama lost their bowl game to Texas, while Arkansas won theirs against Nebraska. The FWAA and HAF both awarded their national championship designations to Arkansas, who was the only team to go undefeated through bowl games that year. Both the University of Arkansas and the University of Alabama claimed national championships for the year 1964."
did india qualify for football world cup 2018,India national football team,False,"By March 2015, after not playing any matches, India reached their lowest FIFA ranking position of 173. A couple months prior, Stephen Constantine was re-hired as the head coach after first leading India more than a decade before. Constantine's first major assignment back as the India head coach were the 2018 FIFA World Cup qualifiers. After making it through the first round of qualifiers, India crashed out during the second round, losing seven of their eight matches and thus, once again, failed to qualify for the World Cup."
can you use vegetable oil as carrier oil,Carrier oil,True,"Carrier oil, also known as base oil or vegetable oil, is used to dilute essential oils and absolutes before they are applied to the skin in massage and aromatherapy. They are so named because they carry the essential oil onto the skin. Diluting essential oils is a critical safety practice when using essential oils. Oils alone are volatile because they begin to dissipate as soon as they are applied. The rate of dispersion will vary based on how light or heavy the carrier oil is. Carrier oils do not contain a concentrated aroma, unlike essential oils, though some, such as olive, have a mild distinctive smell. Neither do they evaporate like essential oils, which are more volatile. The carrier oils used should be as natural and unadulterated as possible. Many people feel organic oils are of higher quality. Cold-pressing and maceration are the two main methods of producing carrier oils."
is the tv series star crossed based on a book,Star-Crossed (TV series),False,"The project was originally titled Oxygen while in development at Isla Producciones (in collaboration with Olé). It was then adapted for the American market by Powwow before being acquired by The CW. Star-Crossed premiered on The CW on Monday, February 17, 2014, at 8:00 pm Eastern/7:00 pm Central. The series was picked up for a thirteen-episode season."
is a nissan frontier a half ton truck,Truck classification,False,"This has led to categorizing trucks similarly, even if their payload is different. Therefore, the Toyota Tacoma, Dodge Dakota, Ford Ranger, Honda Ridgeline, Chevrolet S-10, GMC S-15 and Nissan Frontier are called quarter-tons (1⁄4-ton). The Ford F-150, Chevrolet C10/K10, Chevrolet/GMC 1500, Dodge 1500, Toyota Tundra, and Nissan Titan are half-tons (1⁄2-ton). The Ford F-250, Chevrolet C20/K20, Chevrolet/GMC 2500, and Dodge 2500 are three-quarter-tons (3⁄4-ton). Chevrolet/GMC's 3⁄4-ton suspension systems were further divided into light and heavy-duty, differentiated by 5-lug and 6 or 8-lug wheel hubs depending on year, respectively. The Ford F-350, Chevrolet C30/K30, Chevrolet/GMC 3500, and Dodge 3500 are one tons (1-ton)."
is blue off of blue's clues a girl,List of Blue's Clues characters,True,"Blue is a playful and energetic female puppy with light blue fur and dark blue spots. She cannot talk but communicates with her owners, Steve and Joe, through barks that they interpret based on her tone and expression. In each episode, she plays a game called Blue's Clues, in which she leaves three blue paw print clues for the host and viewers to find in order to answer a question. She has the ability to enter storybooks and picture frames by ``skidooing'' into them with a special dance routine. In the sixth season, she is granted a magic playroom called Blue's Room in which she can interact with the viewer and a cast of live-action puppet characters. She is voiced by Traci Paige Johnson, one of the series' creators. Johnson was cast as the character's voice because out of the crew, she was able to sound the most like a dog."
does the wii u have a sleep mode,Wii U,True,"The Wii U uses a custom multi-chip module (MCM) developed by AMD, IBM and Renesas in co-operation with Nintendo IRD and Nintendo Technology Development. The MCM combines an ``Espresso'' central processing unit (CPU) and a ``Latte'' graphics chip (GPU), as well as a SEEPROM memory chip. The Espresso CPU, designed by IBM, consists of a PowerPC 750-based tri-core processor with 3 MB of shared L2 cache memory and clocked at approximately 1.24 GHz. Despite belonging to the PowerPC family, the Espresso also shares some architectural concepts with the POWER7 architecture, such as the use of eDRAM cache and being manufactured at a 45 nm node. The Latte graphics chip contains both a ``GX2'' GPGPU, which runs Wii U applications, and a ``GX'' GPU, which enables backward compatibility with Wii games. The GX2, designed by AMD, is based on the Radeon R600/R700 architecture and is clocked at approximately 550 MHz. It is manufactured at a 40 nm node and contains 32 MB of eDRAM cache memory, which can also act as L3 cache for the CPU. The GX, originally designed by ArtX, contains a 1 MB and a 2 MB banks of eSRAM cache memory. The Latte chip also includes a secondary custom ARM9 processor with 96 KB of SRAM memory that handles system tasks in the background during gameplay or while the system is in sleep mode, and dedicated hardware audio DSP module."
can you have both male and female genitalia,Intersex,True,"Intersex people are born with any of several variations in sex characteristics including chromosomes, gonads, sex hormones, or genitals that, according to the UN Office of the High Commissioner for Human Rights, ``do not fit the typical definitions for male or female bodies''. Such variations may involve genital ambiguity, and combinations of chromosomal genotype and sexual phenotype other than XY-male and XX-female."
does the xbox 1 play xbox 360 games,List of backward compatible games for Xbox One,True,"The Xbox One gaming console has received updates from Microsoft since its launch in 2013 that enable it to play select games from its two predecessor consoles, Xbox and Xbox 360. On June 15, 2015, backward compatibility with supported Xbox 360 games became available to eligible Xbox Preview program users with a beta update to the Xbox One system software. The dashboard update containing backward compatibility was released publicly on November 12, 2015. On October 24, 2017, another such update added games from the original Xbox library. The following is a list of all backward compatible games on Xbox One under this functionality."
is there a camera on all traffic lights,Red light camera,False,"Since the early 1990s, red light cameras have been used in the United States in 26 U.S. states and the District of Columbia. Within some states, the cameras may only be permitted in certain areas. For example, in New York State, the Vehicle and Traffic Law permits red light cameras only within cities with a population above 1 million (i.e. New York City), Rochester, Buffalo, Yonkers, and Nassau and Suffolk Counties. In Florida, a state law went into effect on 1 July 2010, which allows all municipalities in the state to use red light cameras on all state-owned rights-of-way and fine drivers who run red lights, with the aim of enforcing safe driving, according to then-Governor Charlie Crist. The name given to the state law is the Mark Wandall Traffic Safety Act, named for a man who was killed in 2003 by a motorist who ran a red light. In addition to allowing the use of cameras, the law also standardizes driver fines. Major cities throughout the US that use red light cameras include Atlanta, Austin, Baltimore, Baton Rouge, Chicago, Dallas, Denver, Los Angeles, Memphis, New Orleans, New York City, Newark, Philadelphia, Phoenix, Raleigh, San Francisco, Seattle, Toledo, and Washington, D.C. Albuquerque has cameras, but in October 2011 local voters approved a ballot measure advising the city council to cease authorizing the red light camera program. The City of Albuquerque ended its red light program on 31 December 2011."
is there a sequel to the journey to the mysterious island,Journey 2: The Mysterious Island,False,"In August 2014, it was announced that Carey Hayes and Chad Hayes are writing the script for a third film. In 2015, it was announced that Brad Peyton and Dwayne Johnson would return to direct and star in the sequel, respectively. It was later announced that there would be two sequels. In January 2018, Johnson stated that although a third Journey film, titled Journey from the Earth to the Moon, was intended, it's development had been cancelled due to a lack of immediate interest and troubles in adapting the novel."
is a crossover the same as an suv,Crossover (automobile),False,"A crossover or crossover utility vehicle (CUV) is a vehicle built on a unibody car platform combining in highly variable degrees features of a sport utility vehicle (SUV) with those of a passenger vehicle, especially a station wagon or hatchback."
is the dewey decimal system still in use,Dewey Decimal Classification,True,The first electronic version of ``Dewey'' was created in 1993. Hard-copy editions continue to be issued at intervals; the online WebDewey and Abridged WebDewey are updated quarterly.
can a 14 year old shoot a gun at a shooting range,Shooting ranges in the United States,False,"Typically, no license or advanced training beyond just firearm familiarization (for rentals) and range rules familiarization is usually required for using a shooting range in the United States; the only common requirement is that the shooter must be at least 18 or 21 years old (or have a legal guardian present), and must sign a waiver prior to shooting."
is saigon cinnamon the same as regular cinnamon,Saigon cinnamon,False,"Saigon cinnamon (Cinnamomum loureiroi, also known as Vietnamese cinnamon or Vietnamese cassia and quế trà my, quế thanh, or `` quế trà bồng'' in Vietnam) is an evergreen tree indigenous to mainland Southeast Asia. Despite its name, Saigon cinnamon is more closely related to cassia (C. cassia) than to cinnamon (C. verum, ``true cinnamon'', Ceylon cinnamon), though in the same genus as both. Saigon cinnamon has 1-5% essential oil in content and 25% cinnamaldehyde in essential oil, which is the highest of all the cinnamon species. Consequently, among the species, Saigon cinnamon commands relatively high price."
is riviera maya on the gulf of mexico,Riviera Maya,False,"The Riviera Maya (Spanish pronunciation: (ri'βjeɾa 'maʝa)) is a tourism and resort district south of Cancun, Mexico. It straddles the coastal Fed 307, along the Caribbean coastline of the state of Quintana Roo, located in the eastern portion of the Yucatán Peninsula. Historically, this district started at the city of Playa del Carmen and ended at the village of Tulum, although the towns of Puerto Morelos, situated to the north of Playa del Carmen, as well as the town of Felipe Carrillo Puerto, situated 40 kilometres (25 mi) to the south of Tulum, are both currently being promoted as part of the Riviera Maya tourist corridor."
is isle of man in the channel islands,Channel Islands,False,"The Channel Islands (Norman: Îles d'la Manche; French: Îles Anglo-Normandes or Îles de la Manche) are an archipelago in the English Channel, off the French coast of Normandy. They include two Crown dependencies: the Bailiwick of Jersey, which is the largest of the islands; and the Bailiwick of Guernsey, consisting of Guernsey, Alderney, Sark and some smaller islands. They are considered the remnants of the Duchy of Normandy and, although they are not part of the United Kingdom, the UK is responsible for the defence and international relations of the islands. The Crown dependencies are not members of the Commonwealth of Nations or of the European Union. They have a total population of about 164,541, and the bailiwicks' capitals, Saint Helier and Saint Peter Port, have populations of 33,500 and 16,488, respectively. The total area of the islands is 198 km."
is there really a sequel to the shining,Doctor Sleep (novel),True,"Doctor Sleep is a 2013 horror novel by American writer Stephen King and the sequel to his 1977 novel The Shining. King stated that it is ``a return to balls-to-the-wall, keep-the-lights-on horror''. The book reached the first position on The New York Times Best Seller list for print and ebook fiction (combined), hardcover fiction, and ebook fiction. Doctor Sleep won the 2013 Bram Stoker Award for Best Novel."
is a porpoise and a dolphin the same animal,Porpoise,False,"Porpoises are a group of fully aquatic marine mammals that are sometimes referred to as mereswine, all of which are classified under the family Phocoenidae, parvorder Odontoceti (toothed whales). There are seven extant species of porpoise. They are small toothed whales that are very closely related to oceanic dolphins. The most obvious visible difference between the two groups is that porpoises have shorter beaks and flattened, spade-shaped teeth distinct from the conical teeth of dolphins. Porpoises, and other cetaceans, belong to the clade Cetartiodactyla with even-toed ungulates, and their closest living relatives are the hippopotamuses, having diverged from them about 40 million years ago."
can you drink in the street in russia,Drinking in public,False,"According to the article 20.20 of the Offences Code of Russia, drinking in a place where it is forbidden by the federal law is punishable with a fine of 500 to 1500 rubles. The article 16 of the Federal Law #171-FZ ``About the State Regulation of Production and Trade of Ethanol, Alcoholic and Ethanol-containing Products and about Restriction of Alcoholic Products Consumption (Drinking)'' forbids drinking in almost all public places (including entrance halls, staircases and elevators of living buildings) except bars, restaurants or other similar establishments where it is permitted to sell alcoholic products for immediate consumption."
can you turn right on a red in quebec,Turn on red,True,"Through most of Canada, a driver may turn right at a red light after coming to a complete stop unless a sign indicates otherwise. In the province of Quebec, turning right on a red was illegal until a pilot study carried out in 2003 showed that the right turn on red manoeuvre did not result in significantly more accidents. Subsequent to the study, the Province of Quebec now allows right turns on red except where prohibited by a sign. However, like in New York City, it remains illegal to turn right on a red anywhere on the Island of Montreal. Motorists are reminded of this by large signs posted at the entrance to all bridges."
does the scapula form a joint with the ribs,Scapula,False,"In anatomy, the scapula (plural scapulae or scapulas; also known as shoulder bone, shoulder blade or wing bone) is the bone that connects the humerus (upper arm bone) with the clavicle (collar bone). Like their connected bones the scapulae are paired, with the scapula on either side of the body being roughly a mirror image of the other. The name derives from early Roman times when it was thought that the bone resembled a trowel or small shovel."
can you carry a gun in a bar in oklahoma,Gun laws in Oklahoma,False,"Individuals possessing handgun carry permits may not carry handguns of greater than .45 caliber. Individuals with handgun carry permits may not carry in an establishment whose primary purpose is the serving of alcoholic beverages. Handgun carry permit holders may not consume alcoholic beverages while carrying. Doing so will result in revocation of carry permit and possible criminal charges. Carry with permit is allowed in an establishment that serves alcoholic beverages, (such as a restaurant that serves alcoholic beverages) as long as that is not the primary purpose of said establishment. Handgun carry permit holders cannot carry into any sports arena during a professional sporting event, in an area or building where pari-mutuel wagering is authorized (such as a casino), cannot carry in schools nor in any government building."
is turpentine and white spirit the same thing,White spirit,False,The word ``mineral'' in ``mineral spirits'' or ``mineral turpentine'' is meant to distinguish it from distilled spirits (distilled directly from fermented grains and fruit) or from true turpentine (distilled tree resin).
is a goose and geese the same thing,Goose,True,"Geese are waterfowl of the family Anatidae. This group comprises the genera Anser (the grey geese) and Branta (the black geese). Chen, a genus comprising 'white geese', is sometimes used to refer to a group of species that are more commonly placed within Anser. Some other birds, mostly related to the shelducks, have ``goose'' as part of their names. More distantly related members of the family Anatidae are swans, most of which are larger than true geese, and ducks, which are smaller."
does cows have to be pregnant to produce milk,Dairy cattle,False,"The dairy cow will produce large amounts of milk in its lifetime. Production levels peak at around 40 to 60 days after calving. Production declines steadily afterwards until milking is stopped at about 10 months. The cow is ``dried off'' for about sixty days before calving again. Within a 12 to 14-month inter-calving cycle, the milking period is about 305 days or 10 months long. Among many variables, certain breeds produce more milk than others within a range of around 6,800 to 17,000 kg (15,000 to 37,500 lbs) of milk per year."
has anyone in the coast guard won the medal of honor,Douglas Albert Munro,True,"Douglas Albert Munro (October 11, 1919 -- September 27, 1942) is the only member of the United States Coast Guard to have received the Medal of Honor, the United States's highest military award. Munro received the decoration posthumously for his actions as officer-in-charge of a group of landing craft on September 27, 1942, during the September Matanikau action in the Guadalcanal campaign of World War II."
can you castle after being checked in chess,Castling,False,"Castling consists of moving the king two squares towards a rook on the player's first rank , then moving the rook to the square over which the king crossed. Castling may only be done if the king has never moved, the rook involved has never moved, the squares between the king and the rook involved are unoccupied, the king is not in check, and the king does not cross over or end on a square in which it would be in check. Castling is one of the rules of chess and is technically a king move (Hooper & Whyld 1992:71)."
do the castaways on gilligan island get rescued,Rescue from Gilligan's Island,True,"Rescue from Gilligan's Island is a 1978 made-for-television comedy film that continues the adventures of the shipwrecked castaways from the 1964--67 sitcom Gilligan's Island, starring Bob Denver and Alan Hale, Jr., and featuring all the original cast except Tina Louise. The film first aired on NBC as a two-part special on October 14 and October 21, 1978. The film has the characters finally being rescued after 15 years on the island. The film was directed by Leslie H. Martinson."
does the prime minister live at number 10 downing street,10 Downing Street,True,"10 Downing Street, colloquially known in the United Kingdom as Number 10, is the headquarters of the Government of the United Kingdom and the official residence and office of the First Lord of the Treasury, a post which, for much of the 18th and 19th centuries and invariably since 1905, has been held by the Prime Minister."
will there be a second season of discovery,Star Trek: Discovery (season 2),True,"The second season of the American television series Star Trek: Discovery is set roughly a decade before the events of the original Star Trek series and follows the crew of the USS Discovery. The season will be produced by CBS Television Studios in association with Secret Hideout, Roddenberry Entertainment, and Living Dead Guy Productions, with Alex Kurtzman serving as showrunner."
is final fantasy 12 zodiac age a remake,Final Fantasy XII,True,"In July 2017, Square Enix released Final Fantasy XII: The Zodiac Age, a high-definition remaster of the Japanese-only International Zodiac Job System for the PlayStation 4. It adds trophy support, a remastered soundtrack with a few new tracks, and improved technical performance. The Zodiac Age was nominated for ``Best Remake/Remaster'' at IGN's Best of 2017 Awards, and won ``Best Remaster'' at Game Informer's Best of 2017 Awards and 2017 RPG of the Year Awards."
is the leaning tower of pisa in rome,Leaning Tower of Pisa,False,"The Leaning Tower of Pisa (Italian: Torre pendente di Pisa) or simply the Tower of Pisa (Torre di Pisa (ˈtorre di ˈpiːza)) is the campanile, or freestanding bell tower, of the cathedral of the Italian city of Pisa, known worldwide for its unintended tilt. The tower is situated behind the Pisa Cathedral and is the third oldest structure in the city's Cathedral Square (Piazza del Duomo), after the cathedral and the Pisa Baptistry."
was mall cop filmed at mall of america,Paul Blart: Mall Cop,False,"Production began in late February 2008 in Boston. Principal photography took place at the Burlington Mall in Burlington, Massachusetts after being denied a permit from Willowbrook Mall in Wayne, New Jersey. From late February until mid-April, the mall and its stores were decorated with Christmas decorations, and there was a large prop ball-pit in the main foyer of the mall near the Sears branch, and a Santa's Village at the opposite end near the Macy's branch where the mall usually puts its own Santa's Village. Interior filming took place mostly at night. Some of the aerial stunts, such as Blart being attacked in the scenic elevator, were performed at the South Shore Plaza in Braintree, MA, as the Burlington Mall's construction did not allow for some of these stunts."
is there a tunnel under the english channel,Channel Tunnel,True,"The Channel Tunnel (French: Le tunnel sous la Manche; also nicknamed the Chunnel) is a 50.45-kilometre (31.35 mi) rail tunnel linking Folkestone, Kent, in the United Kingdom, with Coquelles, Pas-de-Calais, near Calais in northern France, beneath the English Channel at the Strait of Dover. At its lowest point, it is 75 m (250 ft) deep below the sea bed and 115 m (380 ft) below sea level. At 37.9 kilometres (23.5 mi), the tunnel has the longest undersea portion of any tunnel in the world, although the Seikan Tunnel in Japan is both longer overall at 53.85 kilometres (33.46 mi) and deeper at 240 metres (790 ft) below sea level. The speed limit for trains in the tunnel is 160 kilometres per hour (99 mph)."
can a goalie get a penalty in hockey,Penalty (ice hockey),True,"A player who receives a match penalty is ejected. A match penalty is imposed for deliberately injuring another player as well as attempting to injure another player. Many other penalties automatically become match penalties if injuries actually occur: under NHL rules, butt-ending, goalies using blocking glove to the face of another player, head-butting, kicking, punching an unsuspecting player, spearing, and tape on hands during altercation must be called as a match penalty if injuries occur; under IIHF rules, kneeing and checking to the head or neck area must be called as a match penalty if injuries occur."
is there a season 4 for cedar cove,Cedar Cove (TV series),False,"On December 1, 2015, it was announced that the series was cancelled and would not be renewed for a fourth season."
is it possible to thunder and lightning while snowing,Thundersnow,True,"Thundersnow, also known as a winter thunderstorm or a thundersnowstorm, is an unusual kind of thunderstorm with snow falling as the primary precipitation instead of rain. It typically falls in regions of strong upward motion within the cold sector of an extratropical cyclone. Thermodynamically, it is not different from any other type of thunderstorm, but the top of the cumulonimbus cloud is usually quite low. In addition to snow, graupel, or hail may fall."
do powerball matches have to be in order,Powerball,False,"The minimum Powerball bet is $2. In each game, players select five numbers from a set of 69 white balls and one number from 26 red Powerballs; the red ball number can be the same as one of the white balls. The drawing order of the five white balls is irrelevant; all tickets show the white ball numbers in ascending order. Players cannot use the drawn Powerball to match two of their white numbers, or vice versa. Players can select their own numbers, or have the terminal pseudorandomly select the numbers (called ``quick pick'', ``easy pick'', etc.)."
is it illegal to deface money in the uk,Money burning,True,"The Currency and Bank Notes Act 1928 is an Act of the Parliament of the United Kingdom relating to banknotes. Among other things, it makes it a criminal offence to deface a banknote (but not to destroy one). Under Section 10 of the Coinage Act (1971) ``No person shall, except under the authority of a licence granted by the Treasury, melt down or break up any metal coin which is for the time being current in the United Kingdom or which, having been current there, has at any time after 16th May 1969 ceased to be so.''. As the process of creating elongated coins does not require them to be melted nor broken up, however, Section 10 does not apply and coin elongation is legal within the UK with penny press machines."
did kristen bell sing all the voices of anna,Anna (Frozen),False,"Princess Anna of Arendelle is a fictional character who appears in Walt Disney Animation Studios' 53rd animated film Frozen. She is voiced by Kristen Bell as an adult. At the beginning of the film, Livvy Stubenrauch and Katie Lopez provided her speaking and singing voice as a young child, respectively. Agatha Lee Monn portrayed her as a nine-year-old (singing)."
is motherhood maternity and destination maternity the same,Destination Maternity,True,"As of September, 2017, Destination Maternity operates over 1,000 retail locations in North America, including 512 stores, predominantly under the trade-names Motherhood Maternity®, A Pea in the Pod®, and Destination Maternity®, and sells on the web through DestinationMaternity.com, Motherhood.com and APeainthePod.com; Destination Maternity brands are offered at retailers such as Macy's and Boscov's."
does us have military bases in saudi arabia,United States withdrawal from Saudi Arabia,False,"In 2003, the United States withdrew remaining non-training troops or armament purchase support from Saudi Arabia, with 200 of these support personnel remaining, primarily at Eskan Village, a base which is owned by the Saudi Arabian government itself, in support of the US Military Training Mission (USMTM) in Saudi Arabia and the US Office of Program Management for the Saudi Arabian National Guard (OPM-SANG)."
is in-n-out burger a franchise,In-N-Out Burger,False,"In-N-Out Burger has resisted franchising its operations or going public; one reason is the prospect of quality or customer consistency being compromised by excessively rapid business growth. The company's business practices have been noted for employee-centered personnel policies. For example, In-N-Out is one of the few fast food chains in the United States to pay its employees more than state and federally mandated minimum wage guidelines -- starting at US$11 per hour in California, as of May 2017. The In-N-Out restaurant chain has developed a highly loyal customer base, and has been rated as one of the top fast food restaurants in several customer satisfaction surveys."
is fear the walking dead based on the comics,Fear the Walking Dead,True,"Fear the Walking Dead is an American post-apocalyptic horror drama television series created by Robert Kirkman and Dave Erickson, that premiered on AMC on August 23, 2015. It is a companion series and prequel to The Walking Dead, which is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard."
is the walking dead game the same as the show,The Walking Dead (video game),True,"The game takes place in the same fictional world as the comic, with events occurring shortly after the onset of the zombie apocalypse in Georgia. However, most of the characters are original to the game, which centers on university professor and convicted criminal Lee Everett, who helps to rescue and subsequently care for a young girl named Clementine. Kirkman provided oversight for the game's story to ensure it corresponded to the tone of the comic, but allowed Telltale to handle the bulk of the developmental work and story specifics. Some characters from the original comic book series also make in-game appearances."
did tom hardy won an oscar for the revenant,List of awards and nominations received by Tom Hardy,False,"The following is a list of awards and nominations received by English actor Tom Hardy. He was nominated for the Academy Award for Best Supporting Actor for the 2015 film The Revenant. He also won the 2011 BAFTA Rising Star Award, and has twice won the British Independent Film Award for Best Actor, for Bronson (2009) and Legend (2015)."
is friction tape the same as electrical tape,Friction tape,True,"Friction tape is a type of adhesive tape made from cloth impregnated with a rubber-based adhesive, mainly used to insulate splices in electric wires and cables. Because the adhesive is impregnated in the cloth, friction tape is sticky on both sides. The rubber-based adhesive makes it an electrical insulator and provides a degree of protection from liquids and corrosion. In the past, friction tape was widely used by electricians, but PVC electrical tape has replaced it in most applications today. The frictional properties of the tape come from the cloth material, which is usually made from cotton, while the fabric base protects electrical splices against punctures and abrasion."
was the parkers a spin off of moesha,The Parkers,True,"The Parkers is an American sitcom that aired on UPN from August 30, 1999, to May 10, 2004. A spin-off of UPN's Moesha, The Parkers features the mother-daughter team of Nikki (played by Mo'Nique) and Kim Parker (played by Countess Vaughn)."
is it dangerous to drink from lead crystal glasses,Lead glass,True,"Lead crystal glassware was formerly used to store and serve drinks, but due to the potential health risks of lead, this has become rare. One alternative material is crystal glass, in which barium oxide, zinc oxide, or potassium oxide are employed instead of lead oxide. Lead-free crystal has a similar refractive index to lead crystal, but it is lighter and it has less dispersive power."
is it possible to lose the ability to speak,Aphasia,True,"Aphasia is an inability to comprehend and formulate language because of damage to specific brain regions. This damage is typically caused by a cerebral vascular accident (stroke), or head trauma; however, these are not the only possible causes. To be diagnosed with aphasia, a person's speech or language must be significantly impaired in one (or several) of the four communication modalities following acquired brain injury or have significant decline over a short time period (progressive aphasia). The four communication modalities are auditory comprehension, verbal expression, reading and writing, and functional communication."
is a cold water bath as good as an ice bath,Ice bath,True,"Several sources suggest that cold baths (60--75 degrees Fahrenheit) were preferable to ice baths. Physiotherapist Tony Wilson of the University of Southampton said that extremely cold temperatures were unnecessary and a ``cold bath'' would be just as effective as an ice bath. Another agreed that a mere cold bath is preferable to ice baths which are ``unnecessary.'' A third report suggested that cool water (60--75 degrees Fahrenheit) was just as good as water at a lower temperature (54--60 degrees Fahrenheit) and that eight to ten minutes should be sufficient time, and warned against exceeding ten minutes."
is all of europe in the same time zone,Time in Europe,False,"Europe spans 7 primary time zones (from UTC−01:00 to UTC+05:00), excluding summer time offsets (4 of them can be seen on the map to the right, with 1 further-western zone containing the Azores, and 2 further-eastern zones spanning Georgia, Azerbaijan, eastern territories of European Russia, and the European part of Kazakhstan). Most European countries use summer time and harmonise their summer time adjustments. See Summer time in Europe for details."
can the time value of an option be negative,Option time value,False,"In finance, the time value (TV) (extrinsic or instrumental value) of an option is the premium a rational investor would pay over its current exercise value (intrinsic value), based on the probability it will increase in value before expiry. For an American option this value is always greater than zero in a fair market, thus an option is always worth more than its current exercise value.. As an option can be thought of as 'price insurance' (e.g., an airline insuring against unexpected soaring fuel costs caused by a hurricane), TV can be thought of as the risk premium the option seller charges the buyer--the higher the expected risk (volatility ⋅ (\displaystyle \cdot ) time), the higher the premium. Conversely, TV can be thought of as the price an investor is willing to pay for potential upside."
is american and australian sign language the same,Auslan,False,"In more recent times Auslan has seen a significant amount of lexical borrowing from American Sign Language (ASL), especially in signs for technical terms. Some of these arose from the signed English educational philosophies of the 1970s and 80s, when a committee looking for signs with direct equivalence to English words found them in ASL and/or in invented English-based signed systems used in North America and introduced them in the classroom. ASL contains many signs initialised from an alphabet which was also derived from LSF, and Auslan users, already familiar with the related ISL alphabet, accepted many of the new signs easily."
is the electron transport chain and oxidative phosphorylation the same thing,Oxidative phosphorylation,False,"During oxidative phosphorylation, electrons are transferred from electron donors to electron acceptors such as oxygen, in redox reactions. These redox reactions release energy, which is used to form ATP. In eukaryotes, these redox reactions are carried out by a series of protein complexes within the inner membrane of the cell's mitochondria, whereas, in prokaryotes, these proteins are located in the cells' intermembrane space. These linked sets of proteins are called electron transport chains. In eukaryotes, five main protein complexes are involved, whereas in prokaryotes many different enzymes are present, using a variety of electron donors and acceptors."
will there be a total bellas season 4,Total Bellas,True,"On August 7, 2018, E! and WWE announced that Total Bellas had been renewed for a fourth season."
is sunflower oil a type of vegetable oil,Vegetable oil,True,"In the US, the Standard of Identity for a product labeled as ``vegetable oil margarine'' specifies only canola, safflower, sunflower, corn, soybean, or peanut oil may be used. Products not labeled ``vegetable oil margarine'' do not have that restriction."
did andy's mom die in child's play,Child's Play 2,False,"Meanwhile, Andy is now in foster care, due to his mother being in a mental hospital for supporting his story about Chucky. Andy is adopted by Phil (Gerrit Graham) and Joanne Simpson (Jenny Agutter). In his new home, Andy meets his new foster sister Kyle (Christine Elise)."
is rafflesia the largest flower in the world,Rafflesia,False,"The name ``corpse flower'' applied to Rafflesia can be confusing because this common name also refers to the titan arum (Amorphophallus titanum) of the family Araceae. Moreover, because Amorphophallus has the world's largest unbranched inflorescence, it is sometimes mistakenly credited as having the world's largest flower. Both Rafflesia and Amorphophallus are flowering plants, but they are only distantly related. Rafflesia arnoldii has the largest single flower of any flowering plant, at least in terms of weight. Amorphophallus titanum has the largest unbranched inflorescence, while the talipot palm (Corypha umbraculifera) forms the largest branched inflorescence, containing thousands of flowers; the talipot is monocarpic, meaning the individual plants die after flowering."
is there a series 9 of vampire diaries,The Vampire Diaries,False,"The Vampire Diaries is an American supernatural drama television series developed by Kevin Williamson and Julie Plec, based on the popular book series of the same name written by L.J. Smith. The series premiered on The CW on September 10, 2009, and concluded on March 10, 2017, airing 171 episodes over eight seasons."
is the film changeling based on a true story,Changeling (film),True,"Changeling is a 2008 American mystery crime drama film directed, produced, and scored by Clint Eastwood and written by J. Michael Straczynski, that explores child endangerment, female disempowerment, political corruption, mistreatment of mental health patients, and the repercussions of violence. The script was based on real-life events, specifically the 1928 Wineville Chicken Coop Murders in Mira Loma, California. The film stars Angelina Jolie as a woman reunited with a boy whom she immediately realizes is not her missing son. When she tries to demonstrate this to the police and city authorities, she is vilified as delusional, labeled as an unfit mother, and then confined to a psychiatric ward."
did the actor who played gandalf play dumbledore,Albus Dumbledore,False,"Ian McKellen was offered the role, but he turned it down, having played the similar character Gandalf in The Lord of the Rings trilogy, as well as feeling it would have been inappropriate to take Harris's role, as Harris had called McKellen a ``dreadful'' actor. Harris's family had expressed an interest in seeing Peter O'Toole being chosen as his replacement."
are black widow and red back spiders the same,Redback spider,False,"A member of the genus Latrodectus in the family Theridiidae, the redback belongs in a clade with the black widow spider, with the katipo as its closest relative. A 2004 molecular study supports the redback's status as a distinct species, as does the unique abdomen-presenting behaviour of the male during mating. The close relationship between the two species is shown when mating: the male redback is able to successfully mate with a female katipo producing hybrid offspring. However, the male katipo is too heavy to mate with the female redback, as it triggers a predatory response in the female when it approaches the web, causing the female to eat it. There is evidence of interbreeding between female katipo and male redbacks in the wild."
is pixel density and resolution the same thing,Pixel density,True,"Pixels per inch (PPI) or pixels per centimeter (PPCM) are measurements of the pixel density (resolution) of an electronic image device, such as a computer monitor or television display, or image digitizing device such as a camera or image scanner. Horizontal and vertical density are usually the same, as most devices have square pixels, but differ on devices that have non-square pixels."
